@relation lai-linha-weka.filters.unsupervised.attribute.Remove-R3-4

@attribute ndvi numeric
@attribute sowing_days numeric
@attribute lai numeric

@data
0.42911,72,0.120668
0.41909,72,0.120668
0.46251,72,0.171851
0.526687,72,0.426749
0.566237,72,0.636968
0.585882,72,0.758849
0.594427,72,0.815766
0.566237,72,0.636968
0.435786,72,0.120668
0.481343,72,0.236746
0.484142,72,0.247054
0.481412,72,0.236997
0.495155,72,0.289353
0.535133,72,0.467929
0.579693,72,0.719125
0.613843,72,0.954377
0.630187,72,1.08152
0.634287,72,1.11498
0.609555,72,0.922628
0.554999,72,0.572628
0.456258,72,0.15196
0.358582,72,0.120668
0.486928,72,0.257491
0.483953,72,0.246352
0.469208,72,0.194058
0.468941,72,0.193157
0.50188,72,0.31658
0.551403,72,0.552836
0.582052,72,0.734119
0.599497,72,0.850704
0.60168,72,0.866014
0.591228,72,0.794177
0.568703,72,0.651602
0.514521,72,0.370763
0.449083,72,0.130102
0.397883,72,0.120668
0.460199,72,0.164406
0.446456,72,0.122353
0.457663,72,0.156361
0.461499,72,0.168579
0.474521,72,0.212353
0.502388,72,0.318682
0.547172,72,0.530031
0.572454,72,0.674221
0.582052,72,0.734119
0.56256,72,0.615496
0.54359,72,0.511128
0.514984,72,0.372821
0.477395,72,0.222503
0.452446,72,0.140221
0.407241,72,0.120668
0.439077,72,0.120668
0.428684,72,0.120668
0.444284,72,0.120668
0.470822,72,0.199553
0.490126,72,0.26969
0.505675,72,0.332432
0.512026,72,0.359749
0.530662,72,0.445889
0.517906,72,0.385955
0.514984,72,0.372821
0.496501,72,0.294714
0.477245,72,0.221972
0.467473,72,0.188217
0.458142,72,0.157869
0.415431,72,0.120668
0.476931,72,0.220853
0.473709,72,0.20952
0.470822,72,0.199553
0.455264,72,0.148872
0.452446,72,0.140221
0.461499,72,0.168579
0.470822,72,0.199553
0.493489,72,0.282771
0.505999,72,0.333802
0.493367,72,0.28229
0.480526,72,0.233772
0.470822,72,0.199553
0.46108,72,0.167231
0.448459,72,0.12825
0.439525,72,0.120668
0.524258,72,0.415259
0.509415,72,0.348397
0.503215,72,0.322117
0.467787,72,0.189267
0.442954,72,0.120668
0.440286,72,0.120668
0.449083,72,0.130102
0.455264,72,0.148872
0.493248,72,0.281825
0.514984,72,0.372821
0.514984,72,0.372821
0.502654,72,0.319788
0.474328,72,0.211679
0.458142,72,0.157869
0.461499,72,0.168579
0.571308,72,0.667266
0.523647,72,0.412397
0.520794,72,0.399148
0.474521,72,0.212353
0.468383,72,0.191271
0.452992,72,0.141883
0.449686,72,0.131901
0.462295,72,0.171154
0.50213,72,0.317614
0.520245,72,0.396623
0.532007,72,0.452461
0.511204,72,0.356158
0.483845,72,0.24595
0.474521,72,0.212353
0.471325,72,0.201275
0.569985,72,0.659286
0.534729,72,0.465912
0.493022,72,0.280941
0.486941,72,0.257537
0.471325,72,0.201275
0.4655,72,0.181648
0.477679,72,0.223517
0.505058,72,0.32983
0.531296,72,0.448983
0.53398,72,0.462193
0.528582,72,0.435819
0.49601,72,0.292752
0.474708,72,0.213007
0.456258,72,0.15196
0.566237,72,0.636968
0.523056,72,0.409636
0.499167,72,0.305465
0.493133,72,0.281376
0.486941,72,0.257537
0.496168,72,0.293384
0.510812,72,0.354452
0.527931,72,0.432692
0.545306,72,0.520137
0.54359,72,0.511128
0.514073,72,0.368776
0.486928,72,0.257491
0.468666,72,0.192228
0.554999,72,0.572628
0.5174,72,0.383664
0.502388,72,0.318682
0.502388,72,0.318682
0.511608,72,0.357923
0.523056,72,0.409636
0.525835,72,0.422702
0.529253,72,0.439056
0.520245,72,0.396623
0.5083,72,0.343602
0.496168,72,0.293384
0.483882,72,0.246088
0.538229,72,0.48351
0.502388,72,0.318682
0.502388,72,0.318682
0.505362,72,0.331109
0.511608,72,0.357923
0.505058,72,0.32983
0.511204,72,0.356158
0.505362,72,0.331109
0.496168,72,0.293384
0.514521,72,0.370763
0.519713,72,0.394183
0.573808,72,0.682494
0.5174,72,0.383664
0.505362,72,0.331109
0.511608,72,0.357923
0.505675,72,0.332432
0.50213,72,0.317614
0.523647,72,0.412397
0.53274,72,0.456064
0.558666,72,0.593205
0.585882,72,0.758849
0.582931,72,0.739754
0.558666,72,0.593205
0.520794,72,0.399148
0.511608,72,0.357923
0.505362,72,0.331109
0.529253,72,0.439056
0.567488,72,0.644369
0.609224,72,0.920206
0.653414,72,1.27974
0.68004,72,1.53399
0.581136,72,0.728272
0.505058,72,0.32983
0.502388,72,0.318682
0.529946,72,0.442411
0.578721,72,0.713
0.659827,72,1.33826
0.701201,72,1.75815
0.580111,97,0.848898
0.604714,97,1.20127
0.624818,97,1.20127
0.637869,97,1.55364
0.593911,97,-1
0.626917,97,1.20127
0.636409,97,1.55364
0.658797,97,1.57713
0.627101,97,1.20127
0.632671,97,1.20127
0.641876,97,1.55364
0.631297,97,1.20127
0.63103,97,1.20127
0.636771,97,1.55364
0.650098,97,1.55364
0.627101,97,1.20127
0.627101,97,1.20127
0.618959,97,1.20127
0.62298,97,1.20127
0.638645,97,1.55364
0.632963,97,-1
0.624959,97,1.20127
0.61286,97,1.20127
0.610792,97,1.20127
0.604714,97,1.20127
0.612951,97,1.20127
0.640499,97,-1
0.632671,97,1.20127
0.622877,97,1.20127
0.618933,97,1.20127
0.610924,97,1.20127
0.614957,97,1.20127
0.647732,97,1.55364
0.645951,97,1.55364
0.644152,97,1.55364
0.636409,97,1.53015
0.634549,97,1.53015
0.634549,97,1.53015
0.651873,97,1.57713
0.632117,97,1.55364
0.279725,91,0.120668
0.276175,91,0.120668
0.311747,91,0.120668
0.37139,91,0.120668
0.453074,91,0.496529
0.492931,91,0.496529
0.518867,91,0.496529
0.524404,91,0.496529
0.416826,91,0.144159
0.327618,91,0.120668
0.289325,91,0.120668
0.316184,91,0.120668
0.311727,91,0.120668
0.346175,91,0.120668
0.369225,91,0.120668
0.389566,91,0.120668
0.395163,91,0.120668
0.397084,91,0.120668
0.398859,91,0.120668
0.382258,91,0.120668
0.337357,91,0.120668
0.296659,91,0.120668
0.460042,91,0.496529
0.383179,91,0.120668
0.334016,91,0.120668
0.341138,91,0.120668
0.314652,91,0.120668
0.290194,91,0.120668
0.282386,91,0.120668
0.283906,91,0.120668
0.283906,91,0.120668
0.268438,91,0.120668
0.262814,91,0.120668
0.266663,91,0.120668
0.26864,91,0.120668
0.271018,91,0.120668
0.510199,91,0.496529
0.448471,91,0.144159
0.384599,91,0.120668
0.315527,91,0.120668
0.303932,91,0.120668
0.27884,91,0.120668
0.261746,91,0.120668
0.247988,91,0.120668
0.238592,91,0.120668
0.238592,91,0.120668
0.228753,91,0.120668
0.228557,91,0.120668
0.228557,91,0.120668
0.24648,91,0.120668
0.276239,91,0.120668
0.490446,91,0.496529
0.453883,91,0.496529
0.373982,91,0.120668
0.29115,91,0.120668
0.269213,91,0.120668
0.246121,91,0.120668
0.23772,91,0.120668
0.23772,91,0.120668
0.214773,91,0.120668
0.210119,91,0.120668
0.214712,91,0.120668
0.224037,91,0.120668
0.219356,91,0.120668
0.255937,91,0.120668
0.28299,91,0.120668
0.484557,91,0.496529
0.440104,91,0.144159
0.324619,91,0.120668
0.241492,91,0.120668
0.210038,91,0.120668
0.210054,91,0.120668
0.210086,91,0.120668
0.219356,91,0.120668
0.219464,91,0.120668
0.210136,91,0.120668
0.200845,91,0.120668
0.219464,91,0.120668
0.214712,91,0.120668
0.251603,91,0.120668
0.289396,91,0.120668
0.513096,91,0.496529
0.440104,91,0.144159
0.365361,91,0.120668
0.280217,91,0.120668
0.228175,91,0.120668
